"Vertrouwen in mensen, recht en politiek; Europese vergelijking"
"";"";"Onderwerpen";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in"
"";"";"Onderwerpen";"Andere mensen";"Rechtssysteem";"Politie";"Politici";"Parlement";"Politieke partijen";"Europees Parlement";"Verenigde Naties"
"Persoonskenmerken";"Land";"Perioden";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore"
"Totaal personen";"Spanje";"2010";"5.1";"4.4";"6.3";"2.7";"4.3";"2.7";"4.5";"5.0"
"Totaal personen";"Spanje";"2012";"5.1";"3.7";"5.9";"1.9";"3.4";"1.9";"3.9";"4.7"
"Totaal personen";"Spanje";"2014*";"4.8";"4.0";"6.3";"2.2";"3.7";"2.2";"3.8";"4.8"
"Totaal personen";"Tsjechië";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Tsjechië";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Tsjechië";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Tsjechië";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Tsjechië";"2010";"4.6";"4.1";"4.9";"2.6";"3.3";"2.7";"4.1";"4.9"
"Totaal personen";"Tsjechië";"2012";"4.5";"4.1";"5.1";"2.6";"3.2";"2.7";"3.9";"4.8"
"Totaal personen";"Tsjechië";"2014*";"4.6";"4.7";"5.7";"3.3";"4.0";"3.4";"4.2";"4.8"
"Totaal personen";"Verenigd Koninkrijk";"2002";"5.1";"5.0";"6.0";"3.8";"4.7";".";"3.6";"5.3"
"Totaal personen";"Verenigd Koninkrijk";"2004";"5.2";"5.1";"6.1";"3.6";"4.3";"3.7";"3.5";"5.2"
"Totaal personen";"Verenigd Koninkrijk";"2006";"5.4";"5.0";"6.0";"3.4";"4.2";"4.6";"4.5";"6.4"
"Totaal personen";"Verenigd Koninkrijk";"2008";"5.3";"5.2";"6.2";"3.6";"4.3";"3.6";"3.6";"5.1"
"Totaal personen";"Verenigd Koninkrijk";"2010";"5.4";"5.2";"6.2";"3.4";"4.1";"3.5";"3.4";"4.9"
"Totaal personen";"Verenigd Koninkrijk";"2012";"5.4";"5.6";"6.6";"3.7";"4.3";"3.7";"3.4";"5.2"
"Totaal personen";"Verenigd Koninkrijk";"2014*";"5.4";"5.6";"6.3";"3.5";"4.3";"3.5";"3.1";"4.9"
